publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2023p769330,earthquake,2023-10-12T15:39:17.577Z,2023-10-12T16:00:28.295Z,172.2190399,-41.79055023,2.248598392,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,23,16,2,0.08203763515,95.43819141,0.5491902887,0.1840192556
2023p769266,earthquake,2023-10-12T15:05:03.512Z,2023-10-12T16:13:54.793Z,170.1790619,-45.39202118,2.2810056,5,ML,operator assigned,LOCSAT,confirmed,manual,iasp91,20,17,2,0.4789699912,86.68986511,0.5212221493,0.07864694074
2023p768064,earthquake,2023-10-12T04:24:56.625Z,2023-10-16T21:23:41.444Z,168.7108765,-45.18032455,2.659038488,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,21,15,3,0.1520181596,57.08071899,0.5677540757,0.03380259391
2023p767004,earthquake,2023-10-11T18:59:53.322Z,2023-10-11T19:04:28.870Z,169.0804138,-43.89754868,2.506938009,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,21,15,3,0.275983721,164.4017258,0.6814623919,0.4267029986
2023p766983,earthquake,2023-10-11T18:48:50.749Z,2023-10-11T18:54:17.201Z,168.319046,-44.54924774,2.448912856,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,14,10,1,0.3066684604,149.2923126,0.577995946,0
2023p766666,earthquake,2023-10-11T15:59:56.776Z,2023-10-11T18:54:23.107Z,173.1121216,-40.45855713,2.056328582,213.0096283,MLv,,LOCSAT,confirmed,manual,iasp91,17,11,2,0.5754802823,233.2903214,0.1334562705,0.04141645251
2023p765102,quarry blast,2023-10-11T02:06:47.971Z,2023-10-11T02:13:24.230Z,171.8069611,-41.62717056,2.326433381,0,MLv,,LOCSAT,preliminary,manual,iasp91,9,9,5,0.1177094802,200.7617416,0.8280053831,0.2558387965
2023p764976,earthquake,2023-10-11T01:00:28.269Z,2023-10-11T01:11:31.393Z,171.7947584,-42.39832106,2.799821069,211.25,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.4127378044,131.4107673,2.370530814,0
2023p763579,earthquake,2023-10-10T12:35:06.989Z,2023-10-10T12:40:50.858Z,172.7588043,-40.75444412,2.511317815,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,25,19,7,0.1060173586,82.63977051,0.5757908358,0.1977083087
2023p762707,earthquake,2023-10-10T04:50:48.830Z,2023-10-10T07:18:53.605Z,171.0865479,-43.67421341,2.067736301,5.500710964,MLv,,LOCSAT,confirmed,manual,iasp91,15,12,2,0.04682558402,68.18157959,0.3631316778,0.1844954848
